"id","batch_label","batch_quantity_mts","batch_crop","batch_product","product_origin","year","test_type","storage_type","moisture_maize_grain","Immaturegrains","Discolored_grains","Liveinfestation","total_aflatoxins_ug_kg_maize_grain","abnormal_odours_maize_grain","final_grade","test_date","organisation_id","nvcondition","season","tester","description","Other_colors","broken_kernels_percent_maize_grain","foreign_matter_percent_maize_grain","pest_damaged","rotten","condsample","sampledby","bags_sampled","districts","price","moisturechanges","romerid","totaldefective","url","theurl","expiration","production","batchnumber","batchnumberflour","linkedclient","linkedtones","labtested","sampleowne"
"1","Outside- tarpaulin",NULL,"Maize","Grain","Uganda","2022","First","Store","14.2","1.3",NULL,"Absent","5.3",NULL,"2","2024-03-30","5",NULL,"A","Sarah Igitego","Maize grains",NULL,NULL,NULL,"1.4","1.5","Good","Sarah Igitego","5",NULL,NULL,NULL,"01",NULL,"001","www.aflakiosk.com",NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"2","Inside the Atore (lotA) Left",NULL,"Maize","Grain","Uganda","2022","First","Store","14.8","2",NULL,"Present","5.5",NULL,"2","2024-03-30","5",NULL,"A","Sarah Igitego","Maize grains",NULL,NULL,"0.15","2","5","Good","Sarah Igitego","5",NULL,NULL,NULL,"02",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"3","In the middle (inside the store)",NULL,"Maize","Grain","Uganda","2022","First","warehouse","13.3","3",NULL,NULL,"3.3",NULL,"1","2024-03-30","5",NULL,"A","Sarah Igitego","Maize grains",NULL,NULL,NULL,"2.5","5.5","Good","Sarah Igitego","5",NULL,NULL,NULL,"03",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"4","Trucks",NULL,"Maize","Grain","Uganda","2022","First","Store","14.5","2",NULL,"Present","2.1","Absent","2","2024-03-30","5",NULL,"A","Sarah Igitego","Maize grains",NULL,NULL,"0.05","2.5","4","Good","Sarah Igitego","5",NULL,NULL,NULL,"04",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"14","Visionary- sample 1","32","Maize","Grain","Tanzania","2022","First","WareHouse","12.4","0","0.63","Absent","4.3","Absent","1","2024-04-02","8",NULL,"A","Fiston Charles Nizeyimana","Maize Grain",NULL,"0","0","0.45","0","Good","Organisation staff","25",NULL,"420",NULL,"5166",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"15","Leading Exporters Group 001","0.1","Maize","Grain","Uganda","2022","First","Factory","15.5","0.5","3","Present","0","Absent","4","2024-04-05","9",NULL,"C","Solomon Lukoda","Maize grains from dryer",NULL,"0.5","0.5","3.5","2.5","Good","Organisation staff","5",NULL,"700",NULL,"001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"16","Enock Stores 001","0.2","Maize","Grain","Uganda","2022","First","Store","15.4","0.5","2","Absent","0","Absent","4","2024-04-08","10",NULL,"C","Solomon Lukoda","Maize grains in store",NULL,"0.03","0.5","1.5","1.5","Good","Sarah Igitego","1",NULL,"700",NULL,"002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"17","S. David 001","12","Maize","Grain","Uganda","2022","First","Store","15.6","1.25","2","Absent","0","Absent","4","2024-04-08","13",NULL,"C","Solomon Lukoda","Maize grains for transport",NULL,"0.1","0.5","2","2","Good","Organisation staff","15",NULL,"700",NULL,"003",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"18","Kigomba Store 001","0.8","Maize","Grain","Uganda","2022","First","Store","14.9","0.4","1.5","Absent","5","Absent","4","2024-04-08","12",NULL,"C","Solomon Lukoda","Maize grains",NULL,"0.75","0.15","0.5","1","Good","Benjamin Byinshi","5",NULL,"700",NULL,"004",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"19","Kyaligonza Stores 001","20","Maize","Grain","Uganda","2022","First","Store","14.9","0.35","1.4","Absent","2","Absent","4","2024-04-08","11",NULL,"C","Solomon Lukoda","Maize grains in store",NULL,"1","0.5","0.5","1","Good","Organisation staff","10",NULL,"700",NULL,"005",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mubende Laboratory",
"21","Ordinaire","2","Maize","Flour","Rwanda","2022","First","Factory","10.9",NULL,NULL,NULL,"1.9",NULL,"1","2024-04-10","14",NULL,"A","Fiston Charles Nizeyimana","Maize Flour",NULL,NULL,NULL,NULL,NULL,"Good","Organisation staff","12","Bugesera","40000",NULL,"1804",NULL,NULL,"www.aflakiosk.com","2025-04-16","2024-04-10",NULL,NULL,NULL,NULL,"Kigali Laboratory",
"25","TAMU TAMU","3","Maize","Flour","Rwanda","2022","First","Factory","12.9",NULL,NULL,NULL,"3.2",NULL,"1","2024-04-11","15",NULL,"A","Fiston Charles Nizeyimana","Maize flour",NULL,NULL,NULL,NULL,NULL,"Good","Organisation staff","5","Nyarugenge","40000",NULL,"1807",NULL,NULL,"https://drive.google.com/file/d/13hY1KJxxEBZ2HlDnVhfY0f_AieW0eglM/view?usp=sharing","2024-04-01","2025-04-01",NULL,NULL,NULL,NULL,"Kigali Laboratory",
"26","MUSHE Maize flour","30","Maize","Flour","Rwanda","2022","First","Factory","12.6",NULL,NULL,NULL,"8.1",NULL,"1","2024-04-11","16",NULL,"A","Fiston Charles Nizeyimana","Maize flour",NULL,NULL,NULL,NULL,NULL,"Good","Organisation staff","30","Nyarugenge","40000",NULL,"1808",NULL,NULL,"https://drive.google.com/file/d/18XS_gvK_iAtgHVwSyZ3DuObNQVzq3mCD/view?usp=sharing","2025-04-01","2024-04-01",NULL,NULL,NULL,NULL,"Kigali Laboratory",
"27","IREBE Maize flour","9","Maize","Flour","Rwanda","2022","First","Factory","12.8",NULL,NULL,NULL,"5.5",NULL,"1","2024-04-11","17",NULL,"A","Fiston Charles Nizeyimana","Maize flour",NULL,NULL,NULL,NULL,NULL,"Good","Organisation staff","9","Kicukiro","40000",NULL,"1809",NULL,NULL,"https://drive.google.com/file/d/1twHIDD5XwZTptxlTk2HWvC0f4XDywvyz/view?usp=sharing","2025-04-01","2024-04-01",NULL,NULL,NULL,NULL,"Kigali Laboratory",
